source_workbook,sheet,csv_file,rows,columns
Museum/Museum001_attendance.xlsx,Sheet 1,Museum/Museum001_attendance.csv,11,9
Museum/Museum002_attendance.xlsx,Sheet 1,Museum/Museum002_attendance.csv,10,9
Museum/Museum003_attendance.xlsx,Sheet 1,Museum/Museum003_attendance.csv,3,9
Museum/Museum004_attendance.xlsx,Sheet 1,Museum/Museum004_attendance.csv,8,9
Museum/Museum005_attendance.xlsx,Sheet 1,Museum/Museum005_attendance.csv,23,9
Museum/Museum006_attendance.xlsx,Sheet 1,Museum/Museum006_attendance.csv,16,9
Museum/Museum007_attendance.xlsx,Sheet 1,Museum/Museum007_attendance.csv,6,9
Museum/Museum008_attendance.xlsx,Sheet 1,Museum/Museum008_attendance.csv,8,9
Museum/Museum009_attendance.xlsx,Sheet 1,Museum/Museum009_attendance.csv,5,9
Museum/Museum010_attendance.xlsx,Sheet 1,Museum/Museum010_attendance.csv,9,9
Museum/museum_booking_export.xlsx,Sheet 1,Museum/museum_booking_export.csv,1155,9
OCT/digitickets_export.xlsx,Sheet 1,OCT/digitickets_export.csv,1209,11
PC/AUP001_Eventbrite.xlsx,Sheet 1,PC/AUP001_Eventbrite.csv,9,12
PC/AUP002_Eventbrite.xlsx,Sheet 1,PC/AUP002_Eventbrite.csv,25,12
PC/AUP003_Eventbrite.xlsx,Sheet 1,PC/AUP003_Eventbrite.csv,7,12
PC/AUP004_Eventbrite.xlsx,Sheet 1,PC/AUP004_Eventbrite.csv,5,12
PC/AUP005_Eventbrite.xlsx,Sheet 1,PC/AUP005_Eventbrite.csv,4,12
PC/Museum001_Eventbrite.xlsx,Sheet 1,PC/Museum001_Eventbrite.csv,14,12
PC/Museum002_Eventbrite.xlsx,Sheet 1,PC/Museum002_Eventbrite.csv,8,12
PC/Museum003_Eventbrite.xlsx,Sheet 1,PC/Museum003_Eventbrite.csv,7,12
PC/Museum004_Eventbrite.xlsx,Sheet 1,PC/Museum004_Eventbrite.csv,11,12
PC/Museum005_Eventbrite.xlsx,Sheet 1,PC/Museum005_Eventbrite.csv,6,12
PC/Museum006_Eventbrite.xlsx,Sheet 1,PC/Museum006_Eventbrite.csv,16,12
PC/Museum007_Eventbrite.xlsx,Sheet 1,PC/Museum007_Eventbrite.csv,6,12
PC/Museum008_Eventbrite.xlsx,Sheet 1,PC/Museum008_Eventbrite.csv,13,12
PC/Museum009_Eventbrite.xlsx,Sheet 1,PC/Museum009_Eventbrite.csv,7,12
PC/Museum010_Eventbrite.xlsx,Sheet 1,PC/Museum010_Eventbrite.csv,8,12
PC/OCT001_Eventbrite.xlsx,Sheet 1,PC/OCT001_Eventbrite.csv,24,12
PC/OCT002_Eventbrite.xlsx,Sheet 1,PC/OCT002_Eventbrite.csv,16,12
PC/OCT003_Eventbrite.xlsx,Sheet 1,PC/OCT003_Eventbrite.csv,13,12
PC/OCT004_Eventbrite.xlsx,Sheet 1,PC/OCT004_Eventbrite.csv,35,12
PC/OCT005_Eventbrite.xlsx,Sheet 1,PC/OCT005_Eventbrite.csv,49,12
PC/OCT006_Eventbrite.xlsx,Sheet 1,PC/OCT006_Eventbrite.csv,7,12
